Precinct: 03001 ,Polling Place: ,1 ,"","","","",Total: 469 ,Age 18-27: 46.1% ,Age 48-57: ,"","",7.9%,""
"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ","","","","","","",Males: 58.4% Females: 41.6% ,Age 28-37: 21.5% Age 38-47: 15.8% ,Age 58-67: Age 68+: ,"","",4.1%4.7%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Bomi ,"","","Bomi, Electoral District 3","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",12 ,"ANDERSON, Alfred Boimah (NPP) ","",47 ,"COOPER, Tarnue H. (CDC) ","","","","","",118
"BRUMSKINE, Charles Walker (LP) ","","",11 ,"BALLOH, Musah  (ALCOP) ","",24 ,"DAVIS, Ernest Gray (COTOL) ","","","","","",82
"CONNEH, Sekou Damate (PRODEM) ","","",2 ,"BENSON, Rebecca T. (LP) ","",74 ,"HOLMES, JR., Joseph Boakai (NDM) ","","","","","",27
"DIVINE, SR., Samuel Raymond (Ind) ","","",2 ,"BROWN, Samuel Njalbae (LP) ","",31 ,"KARNLEY, Gbilley Dougba (NPP) ","","","","","",27
"FARHAT, David M. (FDP) ","","",5 ,"DEVINE, Richard Blamah (COTOL) ","",136 ,"KOLLIE, John Zoebohn (LP) ","","","","","",9
"JALLAH, Armah Zolu (NPL) ","","",6 ,"JOHNSON, Sando Dazoe (NPP) ","",18 ,"SIRLEAF, Sando Gaiyah (LDP) ","","","","","",26
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",95 ,"KO-JUAH, Amos Boima (UP) ","",23 ,"TARWEH, Seth Momo (PRODEM) ","","","","","",6
"KIADII, George Momodu (NATVIPOL) ","","",1 ,"LANSANAH, Lahai Gbabye (NDPL) ","",65 ,"TIPAYSON, Oretha Maviayer (RULP) ","","","","","",19
"KIEH, JR., George Klay (NDM) ","","",0 ,"MASSALEY, Mohammed Aliu (UP) ","",36 ,"",Valid Votes: ,"","","","",314
"KORTO, Joseph D. Z. (LERP) ","","",0 ,"SANDO, G. Aaron (NDPL) ","",16 ,"",Invalid Votes: ,"","","","",46
"KPOTO, Robert Momo (ULD) ","","",0 ,"SARNOR, Faliku G. (CDC) ","",30 ,"",Total Votes: ,"","","","",360
"KROMAH, Alhaji G. V. (ALCOP) ","","",3 ,"VINCENT, Erik Bauman (APD) ","",11,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",6 ,"VINCENT, Lincoln  (LDP) ","",17,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",14 ,"WASHINGTON, Hajah Sheri (COTOL) ","",47,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",2 ,"",Valid Votes: ,575,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",36 ,"",Invalid Ballots: ,24,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",1 ,"",Valid Votes + Invalid Ballots: ,599,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",10,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",10,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",37,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",77,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",3,"","","","","","","","","",""
"",Valid Votes: ,"",333,"","","","","","","","","",""
"",Invalid Votes: ,"",28,"","","","","","","","","",""
"",Total Votes: ,"",361,"","","","","","","","","",""
Precinct: 03001 ,Polling Place: ,2 ,"","","","",Total: 490 ,Age 18-27: 47.3% ,Age 48-57: ,"","",6.5%,""
"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ","","","","","","",Males: 52.9% Females: 47.1% ,Age 28-37: 23.3% Age 38-47: 14.5% ,Age 58-67: Age 68+: ,"","",3.9%4.5%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Bomi ,"","","Bomi, Electoral District 3","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",5 ,"ANDERSON, Alfred Boimah (NPP) ","",55 ,"COOPER, Tarnue H. (CDC) ","","","","","",110
"BRUMSKINE, Charles Walker (LP) ","","",15 ,"BALLOH, Musah  (ALCOP) ","",19 ,"DAVIS, Ernest Gray (COTOL) ","","","","","",96
"CONNEH, Sekou Damate (PRODEM) ","","",2 ,"BENSON, Rebecca T. (LP) ","",62 ,"HOLMES, JR., Joseph Boakai (NDM) ","","","","","",22
"DIVINE, SR., Samuel Raymond (Ind) ","","",1 ,"BROWN, Samuel Njalbae (LP) ","",30 ,"KARNLEY, Gbilley Dougba (NPP) ","","","","","",50
"FARHAT, David M. (FDP) ","","",1 ,"DEVINE, Richard Blamah (COTOL) ","",145 ,"KOLLIE, John Zoebohn (LP) ","","","","","",20
"JALLAH, Armah Zolu (NPL) ","","",5 ,"JOHNSON, Sando Dazoe (NPP) ","",27 ,"SIRLEAF, Sando Gaiyah (LDP) ","","","","","",24
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",99 ,"KO-JUAH, Amos Boima (UP) ","",30 ,"TARWEH, Seth Momo (PRODEM) ","","","","","",6
"KIADII, George Momodu (NATVIPOL) ","","",1 ,"LANSANAH, Lahai Gbabye (NDPL) ","",74 ,"TIPAYSON, Oretha Maviayer (RULP) ","","","","","",18
"KIEH, JR., George Klay (NDM) ","","",0 ,"MASSALEY, Mohammed Aliu (UP) ","",29 ,"",Valid Votes: ,"","","","",346
"KORTO, Joseph D. Z. (LERP) ","","",0 ,"SANDO, G. Aaron (NDPL) ","",25 ,"",Invalid Votes: ,"","","","",15
"KPOTO, Robert Momo (ULD) ","","",0 ,"SARNOR, Faliku G. (CDC) ","",32 ,"",Total Votes: ,"","","","",361
"KROMAH, Alhaji G. V. (ALCOP) ","","",2 ,"VINCENT, Erik Bauman (APD) ","",12,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",6 ,"VINCENT, Lincoln  (LDP) ","",28,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",14 ,"WASHINGTON, Hajah Sheri (COTOL) ","",43,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",3 ,"",Valid Votes: ,611,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",49 ,"",Invalid Ballots: ,27,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",2 ,"",Valid Votes + Invalid Ballots: ,638,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",11,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",19,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",35,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",83,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",0,"","","","","","","","","",""
"",Valid Votes: ,"",353,"","","","","","","","","",""
"",Invalid Votes: ,"",15,"","","","","","","","","",""
"",Total Votes: ,"",368,"","","","","","","","","",""
