"Precinct: 21001 ","Polling Place ",1,,,"Precinct: 21002 ","Polling Place ",1,,,"Precinct: 21003 ","Polling Place ",1,,
"Gleh El & Jr High School, Ganglota ",,,,,"Beyanta Tow n Hall, Beyanta ",,,,,"Gbakole Tow n Hall, Gbakole",,,,
"Registered Voters: ",542,,,,"Registered Voters: ",475,,,,"Registered Voters: ",200,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,259,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,189,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,79
"WEAH, George Manneh (CDC) ",,,,48,"WEAH, George Manneh (CDC) ",,,,58,"WEAH, George Manneh (CDC) ",,,,39
,"Valid Votes: ",,,307,,"Valid Votes: ",,,247,,"Valid Votes: ",,,118
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,6
,"Total Votes: ",,,313,,"Total Votes: ",,,252,,"Total Votes: ",,,124
"Precinct: 21004 ","Polling Place ",1,,,"Precinct: 21005 ","Polling Place ",1,,,"Precinct: 21006 ","Polling Place ",1,,
"Gbongie Tow n Hall, Gbongie ",,,,,"Gbakoita Tow n Hall, Gbakoita ",,,,,"Gbonyea Tow n Hall , Gbonyea",,,,
"Registered Voters: ",228,,,,"Registered Voters: ",48,,,,"Registered Voters: ",432,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,94,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,10,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,234
"WEAH, George Manneh (CDC) ",,,,49,"WEAH, George Manneh (CDC) ",,,,22,"WEAH, George Manneh (CDC) ",,,,40
,"Valid Votes: ",,,143,,"Valid Votes: ",,,32,,"Valid Votes: ",,,274
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,8
,"Total Votes: ",,,152,,"Total Votes: ",,,33,,"Total Votes: ",,,282
"Precinct: 21007 ","Polling Place ",1,,,"Precinct: 21008 ","Polling Place ",1,,,"Precinct: 21008 ","Polling Place ",2,,
"Kpayakole Tow n Hall, Kpayakole ",,,,,"Gorlu Public School, Gorlu ",,,,,"Gorlu Public School, Gorlu",,,,
"Registered Voters: ",286,,,,"Registered Voters: ",495,,,,"Registered Voters: ",513,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,124,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,262,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,272
"WEAH, George Manneh (CDC) ",,,,48,"WEAH, George Manneh (CDC) ",,,,35,"WEAH, George Manneh (CDC) ",,,,39
,"Valid Votes: ",,,172,,"Valid Votes: ",,,297,,"Valid Votes: ",,,311
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,10
,"Total Votes: ",,,178,,"Total Votes: ",,,308,,"Total Votes: ",,,321
"Precinct: 21009 ","Polling Place ",1,,,"Precinct: 21010 ","Polling Place ",1,,,"Precinct: 21010 ","Polling Place ",2,,
"Telimu Tow n Hall , Telimu ",,,,,"Salayea Public School, Salayea ",,,,,"Salayea Public School, Salayea",,,,
"Registered Voters: ",280,,,,"Registered Voters: ",587,,,,"Registered Voters: ",546,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,109,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,186,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,180
"WEAH, George Manneh (CDC) ",,,,55,"WEAH, George Manneh (CDC) ",,,,103,"WEAH, George Manneh (CDC) ",,,,78
,"Valid Votes: ",,,164,,"Valid Votes: ",,,289,,"Valid Votes: ",,,258
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,19
,"Total Votes: ",,,166,,"Total Votes: ",,,298,,"Total Votes: ",,,277
"Precinct: 21010 ","Polling Place ",3,,,"Precinct: 21011 ","Polling Place ",1,,,"Precinct: 21012 ","Polling Place ",1,,
"Salayea Public School, Salayea ",,,,,"Tailmai Tow n Hall , Tailemai ",,,,,"Yarpuah Public School , Yarpuah",,,,
"Registered Voters: ",570,,,,"Registered Voters: ",425,,,,"Registered Voters: ",385,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,192,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,213,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,226
"WEAH, George Manneh (CDC) ",,,,81,"WEAH, George Manneh (CDC) ",,,,22,"WEAH, George Manneh (CDC) ",,,,18
,"Valid Votes: ",,,273,,"Valid Votes: ",,,235,,"Valid Votes: ",,,244
,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,6
,"Total Votes: ",,,284,,"Total Votes: ",,,237,,"Total Votes: ",,,250
"Precinct: 21012 ","Polling Place ",2,,,"Precinct: 21013 ","Polling Place ",1,,,"Precinct: 21013 ","Polling Place ",2,,
"Yarpuah Public School , Yarpuah ",,,,,"Kpeieyea Clinic , Kpeieyea ",,,,,"Kpeieyea Clinic , Kpeieyea",,,,
"Registered Voters: ",380,,,,"Registered Voters: ",487,,,,"Registered Voters: ",464,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,202,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,304,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,187
"WEAH, George Manneh (CDC) ",,,,10,"WEAH, George Manneh (CDC) ",,,,39,"WEAH, George Manneh (CDC) ",,,,58
,"Valid Votes: ",,,212,,"Valid Votes: ",,,343,,"Valid Votes: ",,,245
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,5
,"Total Votes: ",,,216,,"Total Votes: ",,,351,,"Total Votes: ",,,250
"Precinct: 21014 ","Polling Place ",1,,,"Precinct: 21015 ","Polling Place ",1,,,"Precinct: 21015 ","Polling Place ",2,,
"Gbanw ay Public School, Gbanw ay ",,,,,"Public Building , Sucromu ",,,,,"Public Building , Sucromu",,,,
"Registered Voters: ",385,,,,"Registered Voters: ",510,,,,"Registered Voters: ",516,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,230,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,288,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,320
"WEAH, George Manneh (CDC) ",,,,10,"WEAH, George Manneh (CDC) ",,,,36,"WEAH, George Manneh (CDC) ",,,,35
,"Valid Votes: ",,,240,,"Valid Votes: ",,,324,,"Valid Votes: ",,,355
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,4
,"Total Votes: ",,,248,,"Total Votes: ",,,331,,"Total Votes: ",,,359
"Precinct: 21016 ","Polling Place ",1,,,"Precinct: 21016 ","Polling Place ",2,,,"Precinct: 21016 ","Polling Place ",3,,
"Guzal Public School, Zolow o ",,,,,"Guzal Public School, Zolow o ",,,,,"Guzal Public School, Zolow o",,,,
"Registered Voters: ",441,,,,"Registered Voters: ",426,,,,"Registered Voters: ",455,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,152,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,132,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,106
"WEAH, George Manneh (CDC) ",,,,33,"WEAH, George Manneh (CDC) ",,,,28,"WEAH, George Manneh (CDC) ",,,,37
,"Valid Votes: ",,,185,,"Valid Votes: ",,,160,,"Valid Votes: ",,,143
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,4
,"Total Votes: ",,,188,,"Total Votes: ",,,162,,"Total Votes: ",,,147
"Precinct: 21017 ","Polling Place ",1,,,"Precinct: 21018 ","Polling Place ",1,,,"Precinct: 21019 ","Polling Place ",1,,
"Guzal Public School 11, Zolow o ",,,,,"Fasaw alozu Tow n Hall, Fasaw alozu ",,,,,"Zorzor Public School 11, Zorzor Tow n",,,,
"Registered Voters: ",503,,,,"Registered Voters: ",248,,,,"Registered Voters: ",539,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,121,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,122,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,152
"WEAH, George Manneh (CDC) ",,,,39,"WEAH, George Manneh (CDC) ",,,,41,"WEAH, George Manneh (CDC) ",,,,42
,"Valid Votes: ",,,160,,"Valid Votes: ",,,163,,"Valid Votes: ",,,194
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,6
,"Total Votes: ",,,167,,"Total Votes: ",,,163,,"Total Votes: ",,,200
"Precinct: 21019 ","Polling Place ",2,,,"Precinct: 21020 ","Polling Place ",1,,,"Precinct: 21020 ","Polling Place ",2,,
"Zorzor Public School 11, Zorzor Tow n ",,,,,"Zorzor Public School 1, Zorzor Tow n ",,,,,"Zorzor Public School 1, Zorzor Tow n",,,,
"Registered Voters: ",533,,,,"Registered Voters: ",563,,,,"Registered Voters: ",548,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,137,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,142,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,144
"WEAH, George Manneh (CDC) ",,,,52,"WEAH, George Manneh (CDC) ",,,,77,"WEAH, George Manneh (CDC) ",,,,70
,"Valid Votes: ",,,189,,"Valid Votes: ",,,219,,"Valid Votes: ",,,214
,"Invalid Votes: ",,,15,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,10
,"Total Votes: ",,,204,,"Total Votes: ",,,231,,"Total Votes: ",,,224
"Precinct: 21020 ","Polling Place ",3,,,"Precinct: 21020 ","Polling Place ",4,,,"Precinct: 21021 ","Polling Place ",1,,
"Zorzor Public School 1, Zorzor Tow n ",,,,,"Zorzor Public School 1, Zorzor Tow n ",,,,,"Kilw u Public School, Kiliw u",,,,
"Registered Voters: ",531,,,,"Registered Voters: ",524,,,,"Registered Voters: ",514,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,145,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,130,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,172
"WEAH, George Manneh (CDC) ",,,,72,"WEAH, George Manneh (CDC) ",,,,68,"WEAH, George Manneh (CDC) ",,,,52
,"Valid Votes: ",,,217,,"Valid Votes: ",,,198,,"Valid Votes: ",,,224
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,17
,"Total Votes: ",,,224,,"Total Votes: ",,,204,,"Total Votes: ",,,241
"Precinct: 21022 ","Polling Place ",1,,,"Precinct: 21022 ","Polling Place ",2,,,"Precinct: 21023 ","Polling Place ",1,,
"Yeala Public School, Yeala ",,,,,"Yeala Public School, Yeala ",,,,,"Fissebu Public School , Fissibu",,,,
"Registered Voters: ",456,,,,"Registered Voters: ",446,,,,"Registered Voters: ",478,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,214,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,199,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,218
"WEAH, George Manneh (CDC) ",,,,48,"WEAH, George Manneh (CDC) ",,,,29,"WEAH, George Manneh (CDC) ",,,,29
,"Valid Votes: ",,,262,,"Valid Votes: ",,,228,,"Valid Votes: ",,,247
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,14,,"Invalid Votes: ",,,10
,"Total Votes: ",,,270,,"Total Votes: ",,,242,,"Total Votes: ",,,257
"Precinct: 21023 ","Polling Place ",2,,,"Precinct: 21023 ","Polling Place ",3,,,"Precinct: 21023 ","Polling Place ",4,,
"Fissebu Public School , Fissibu ",,,,,"Fissebu Public School , Fissibu ",,,,,"Fissebu Public School , Fissibu",,,,
"Registered Voters: ",460,,,,"Registered Voters: ",471,,,,"Registered Voters: ",461,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,211,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,204,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,216
"WEAH, George Manneh (CDC) ",,,,34,"WEAH, George Manneh (CDC) ",,,,41,"WEAH, George Manneh (CDC) ",,,,45
,"Valid Votes: ",,,245,,"Valid Votes: ",,,245,,"Valid Votes: ",,,261
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,10
,"Total Votes: ",,,249,,"Total Votes: ",,,255,,"Total Votes: ",,,271
"Precinct: 21024 ","Polling Place ",1,,,"Precinct: 21024 ","Polling Place ",2,,,"Precinct: 21024 ","Polling Place ",3,,
"Borkeaza Public School, Borkeaza ",,,,,"Borkeaza Public School, Borkeaza ",,,,,"Borkeaza Public School, Borkeaza",,,,
"Registered Voters: ",498,,,,"Registered Voters: ",494,,,,"Registered Voters: ",523,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,294,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,266,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,258
"WEAH, George Manneh (CDC) ",,,,26,"WEAH, George Manneh (CDC) ",,,,41,"WEAH, George Manneh (CDC) ",,,,56
,"Valid Votes: ",,,320,,"Valid Votes: ",,,307,,"Valid Votes: ",,,314
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,15,,"Invalid Votes: ",,,23
,"Total Votes: ",,,322,,"Total Votes: ",,,322,,"Total Votes: ",,,337
"Precinct: 21025 ","Polling Place ",1,,,"Precinct: 21026 ","Polling Place ",1,,,"Precinct: 21027 ","Polling Place ",1,,
"Zelamai Public School, Zelemai ",,,,,"Zuw ulor Tow n Hall, Zuw ulor ",,,,,"Garbo Public School 1, Konia",,,,
"Registered Voters: ",581,,,,"Registered Voters: ",378,,,,"Registered Voters: ",510,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,240,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,195,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,154
"WEAH, George Manneh (CDC) ",,,,69,"WEAH, George Manneh (CDC) ",,,,21,"WEAH, George Manneh (CDC) ",,,,29
,"Valid Votes: ",,,309,,"Valid Votes: ",,,216,,"Valid Votes: ",,,183
,"Invalid Votes: ",,,17,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,8
,"Total Votes: ",,,326,,"Total Votes: ",,,220,,"Total Votes: ",,,191
"Precinct: 21027 ","Polling Place ",2,,,"Precinct: 21028 ","Polling Place ",1,,,"Precinct: 21029 ","Polling Place ",1,,
"Garbo Public School 1, Konia ",,,,,"Bodah Tow n Hall, Bodah ",,,,,"Garbo Public School 11, Konia",,,,
"Registered Voters: ",493,,,,"Registered Voters: ",237,,,,"Registered Voters: ",562,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,127,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,66,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,187
"WEAH, George Manneh (CDC) ",,,,50,"WEAH, George Manneh (CDC) ",,,,29,"WEAH, George Manneh (CDC) ",,,,69
,"Valid Votes: ",,,177,,"Valid Votes: ",,,95,,"Valid Votes: ",,,256
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,7
,"Total Votes: ",,,178,,"Total Votes: ",,,95,,"Total Votes: ",,,263
"Precinct: 21030 ","Polling Place ",1,,,"Precinct: 21030 ","Polling Place ",2,,,"Precinct: 21031 ","Polling Place ",1,,
"Ziggida Public School, Ziggida ",,,,,"Ziggida Public School, Ziggida ",,,,,"Wozi Public School, Wozi",,,,
"Registered Voters: ",392,,,,"Registered Voters: ",366,,,,"Registered Voters: ",249,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,170,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,163,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,145
"WEAH, George Manneh (CDC) ",,,,90,"WEAH, George Manneh (CDC) ",,,,87,"WEAH, George Manneh (CDC) ",,,,12
,"Valid Votes: ",,,260,,"Valid Votes: ",,,250,,"Valid Votes: ",,,157
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,5
,"Total Votes: ",,,270,,"Total Votes: ",,,260,,"Total Votes: ",,,162
"Precinct: 21032 ","Polling Place ",1,,,"Precinct: 21032 ","Polling Place ",2,,,"Precinct: 21033 ","Polling Place ",1,,
"Woumai Public School, Woumai ",,,,,"Woumai Public School, Woumai ",,,,,"Luyema Tow n Hall , Luyeama",,,,
"Registered Voters: ",344,,,,"Registered Voters: ",389,,,,"Registered Voters: ",340,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,86,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,94,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,152
"WEAH, George Manneh (CDC) ",,,,69,"WEAH, George Manneh (CDC) ",,,,84,"WEAH, George Manneh (CDC) ",,,,28
,"Valid Votes: ",,,155,,"Valid Votes: ",,,178,,"Valid Votes: ",,,180
,"Invalid Votes: ",,,20,,"Invalid Votes: ",,,14,,"Invalid Votes: ",,,6
,"Total Votes: ",,,175,,"Total Votes: ",,,192,,"Total Votes: ",,,186
