"Precinct: 42001 ","Polling Place: ",1,,,"Precinct: 42001 ","Polling Place: ",2,,,"Precinct: 42001 ","Polling Place: ",3,,
"Public School , Kanw eaken ",,,,,"Public School , Kanw eaken ",,,,,"Public School , Kanw eaken",,,,
"Registered Voters: ",531,,,,"Registered Voters: ",536,,,,"Registered Voters: ",532,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,67,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,50,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,65
"WEAH, George Manneh (CDC) ",,,,150,"WEAH, George Manneh (CDC) ",,,,162,"WEAH, George Manneh (CDC) ",,,,147
,"Valid Votes: ",,,217,,"Valid Votes: ",,,212,,"Valid Votes: ",,,212
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,8
,"Total Votes: ",,,225,,"Total Votes: ",,,221,,"Total Votes: ",,,220
"Precinct: 42001 ","Polling Place: ",4,,,"Precinct: 42002 ","Polling Place: ",1,,,"Precinct: 42002 ","Polling Place: ",2,,
"Public School , Kanw eaken ",,,,,"Public School , Dw eaken ",,,,,"Public School , Dw eaken",,,,
"Registered Voters: ",543,,,,"Registered Voters: ",372,,,,"Registered Voters: ",365,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,80,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,39,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,33
"WEAH, George Manneh (CDC) ",,,,162,"WEAH, George Manneh (CDC) ",,,,136,"WEAH, George Manneh (CDC) ",,,,145
,"Valid Votes: ",,,242,,"Valid Votes: ",,,175,,"Valid Votes: ",,,178
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,3
,"Total Votes: ",,,245,,"Total Votes: ",,,180,,"Total Votes: ",,,181
"Precinct: 42003 ","Polling Place: ",1,,,"Precinct: 42003 ","Polling Place: ",2,,,"Precinct: 42004 ","Polling Place: ",1,,
"School, Pronoken ",,,,,"School, Pronoken ",,,,,"Public School , Joquiken",,,,
"Registered Voters: ",405,,,,"Registered Voters: ",408,,,,"Registered Voters: ",538,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,39,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,39,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,19
"WEAH, George Manneh (CDC) ",,,,158,"WEAH, George Manneh (CDC) ",,,,163,"WEAH, George Manneh (CDC) ",,,,156
,"Valid Votes: ",,,197,,"Valid Votes: ",,,202,,"Valid Votes: ",,,175
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,16
,"Total Votes: ",,,207,,"Total Votes: ",,,203,,"Total Votes: ",,,191
"Precinct: 42004 ","Polling Place: ",2,,,"Precinct: 42005 ","Polling Place: ",1,,,"Precinct: 42005 ","Polling Place: ",2,,
"Public School , Joquiken ",,,,,"Public School , Putuken ",,,,,"Public School , Putuken",,,,
"Registered Voters: ",519,,,,"Registered Voters: ",543,,,,"Registered Voters: ",544,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,22,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,36,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,29
"WEAH, George Manneh (CDC) ",,,,185,"WEAH, George Manneh (CDC) ",,,,180,"WEAH, George Manneh (CDC) ",,,,183
,"Valid Votes: ",,,207,,"Valid Votes: ",,,216,,"Valid Votes: ",,,212
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,13,,"Invalid Votes: ",,,7
,"Total Votes: ",,,210,,"Total Votes: ",,,229,,"Total Votes: ",,,219
"Precinct: 42006 ","Polling Place: ",1,,,"Precinct: 42006 ","Polling Place: ",2,,,"Precinct: 42006 ","Polling Place: ",3,,
"Public School , Jarkaken ",,,,,"Public School , Jarkaken ",,,,,"Public School , Jarkaken",,,,
"Registered Voters: ",511,,,,"Registered Voters: ",493,,,,"Registered Voters: ",489,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,30,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,30,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,39
"WEAH, George Manneh (CDC) ",,,,117,"WEAH, George Manneh (CDC) ",,,,88,"WEAH, George Manneh (CDC) ",,,,99
,"Valid Votes: ",,,147,,"Valid Votes: ",,,118,,"Valid Votes: ",,,138
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,2
,"Total Votes: ",,,151,,"Total Votes: ",,,123,,"Total Votes: ",,,140
"Precinct: 42006 ","Polling Place: ",4,,,"Precinct: 42007 ","Polling Place: ",1,,,"Precinct: 42007 ","Polling Place: ",2,,
"Public School , Jarkaken ",,,,,"Palava Hut, Killepo Kanw eaken ",,,,,"Palava Hut, Killepo Kanw eaken",,,,
"Registered Voters: ",540,,,,"Registered Voters: ",494,,,,"Registered Voters: ",455,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,41,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,22,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,14
"WEAH, George Manneh (CDC) ",,,,100,"WEAH, George Manneh (CDC) ",,,,164,"WEAH, George Manneh (CDC) ",,,,177
,"Valid Votes: ",,,141,,"Valid Votes: ",,,186,,"Valid Votes: ",,,191
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,3
,"Total Votes: ",,,143,,"Total Votes: ",,,188,,"Total Votes: ",,,194
"Precinct: 42008 ","Polling Place: ",1,,,"Precinct: 42008 ","Polling Place: ",2,,,"Precinct: 42008 ","Polling Place: ",3,,
"Public School , Chergboken ",,,,,"Public School , Chergboken ",,,,,"Public School , Chergboken",,,,
"Registered Voters: ",479,,,,"Registered Voters: ",469,,,,"Registered Voters: ",479,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,23,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,23,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,25
"WEAH, George Manneh (CDC) ",,,,122,"WEAH, George Manneh (CDC) ",,,,99,"WEAH, George Manneh (CDC) ",,,,160
,"Valid Votes: ",,,145,,"Valid Votes: ",,,122,,"Valid Votes: ",,,185
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,14,,"Invalid Votes: ",,,6
,"Total Votes: ",,,148,,"Total Votes: ",,,136,,"Total Votes: ",,,191
"Precinct: 42009 ","Polling Place: ",1,,,"Precinct: 42009 ","Polling Place: ",2,,,"Precinct: 42010 ","Polling Place: ",1,,
"School, Nyonken ",,,,,"School, Nyonken ",,,,,"City Hall, Fishtow n",,,,
"Registered Voters: ",571,,,,"Registered Voters: ",586,,,,"Registered Voters: ",424,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,5,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,9,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,135
"WEAH, George Manneh (CDC) ",,,,150,"WEAH, George Manneh (CDC) ",,,,142,"WEAH, George Manneh (CDC) ",,,,72
,"Valid Votes: ",,,155,,"Valid Votes: ",,,151,,"Valid Votes: ",,,207
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,5
,"Total Votes: ",,,156,,"Total Votes: ",,,155,,"Total Votes: ",,,212
"Precinct: 42010 ","Polling Place: ",2,,,"Precinct: 42010 ","Polling Place: ",3,,,"Precinct: 42011 ","Polling Place: ",1,,
"City Hall, Fishtow n ",,,,,"City Hall, Fishtow n ",,,,,"School, Jaytoken",,,,
"Registered Voters: ",449,,,,"Registered Voters: ",454,,,,"Registered Voters: ",329,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,143,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,134,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,76
"WEAH, George Manneh (CDC) ",,,,69,"WEAH, George Manneh (CDC) ",,,,76,"WEAH, George Manneh (CDC) ",,,,111
,"Valid Votes: ",,,212,,"Valid Votes: ",,,210,,"Valid Votes: ",,,187
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,1
,"Total Votes: ",,,216,,"Total Votes: ",,,217,,"Total Votes: ",,,188
"Precinct: 42011 ","Polling Place: ",2,,,"Precinct: 42012 ","Polling Place: ",1,,,"Precinct: 42013 ","Polling Place: ",1,,
"School, Jaytoken ",,,,,"School, Juw elbo ",,,,,"School, Sarbo Sw eaken",,,,
"Registered Voters: ",318,,,,"Registered Voters: ",422,,,,"Registered Voters: ",479,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,51,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,39,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,143
"WEAH, George Manneh (CDC) ",,,,114,"WEAH, George Manneh (CDC) ",,,,116,"WEAH, George Manneh (CDC) ",,,,90
,"Valid Votes: ",,,165,,"Valid Votes: ",,,155,,"Valid Votes: ",,,233
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,6
,"Total Votes: ",,,167,,"Total Votes: ",,,155,,"Total Votes: ",,,239
"Precinct: 42013 ","Polling Place: ",2,,,"Precinct: 42014 ","Polling Place: ",1,,,"Precinct: 42014 ","Polling Place: ",2,,
"School, Sarbo Sw eaken ",,,,,"School, Yassaken ",,,,,"School, Yassaken",,,,
"Registered Voters: ",478,,,,"Registered Voters: ",508,,,,"Registered Voters: ",482,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,135,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,117,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,114
"WEAH, George Manneh (CDC) ",,,,92,"WEAH, George Manneh (CDC) ",,,,130,"WEAH, George Manneh (CDC) ",,,,106
,"Valid Votes: ",,,227,,"Valid Votes: ",,,247,,"Valid Votes: ",,,220
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,4
,"Total Votes: ",,,237,,"Total Votes: ",,,247,,"Total Votes: ",,,224
"Precinct: 42014 ","Polling Place: ",3,,,"Precinct: 42015 ","Polling Place: ",1,,,"Precinct: 42015 ","Polling Place: ",2,,
"School, Yassaken ",,,,,"Public School , Youbor ",,,,,"Public School , Youbor",,,,
"Registered Voters: ",503,,,,"Registered Voters: ",367,,,,"Registered Voters: ",386,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,102,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,3,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,8
"WEAH, George Manneh (CDC) ",,,,134,"WEAH, George Manneh (CDC) ",,,,216,"WEAH, George Manneh (CDC) ",,,,338
,"Valid Votes: ",,,236,,"Valid Votes: ",,,219,,"Valid Votes: ",,,346
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,4
,"Total Votes: ",,,236,,"Total Votes: ",,,219,,"Total Votes: ",,,350
"Precinct: 42016 ","Polling Place: ",1,,,"Precinct: 42017 ","Polling Place: ",1,,,"Precinct: 42017 ","Polling Place: ",2,,
"Tow n Hall , Toubo Sw eaken ",,,,,"Public School , Gbaw leken ",,,,,"Public School , Gbaw leken",,,,
"Registered Voters: ",497,,,,"Registered Voters: ",441,,,,"Registered Voters: ",446,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,189,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,76,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,73
"WEAH, George Manneh (CDC) ",,,,39,"WEAH, George Manneh (CDC) ",,,,118,"WEAH, George Manneh (CDC) ",,,,108
,"Valid Votes: ",,,228,,"Valid Votes: ",,,194,,"Valid Votes: ",,,181
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,3
,"Total Votes: ",,,228,,"Total Votes: ",,,198,,"Total Votes: ",,,184
"Precinct: 42017 ","Polling Place: ",3,,,"Precinct: 42018 ","Polling Place: ",1,,,"Precinct: 42018 ","Polling Place: ",2,,
"Public School , Gbaw leken ",,,,,"School, Taryaken ",,,,,"School, Taryaken",,,,
"Registered Voters: ",464,,,,"Registered Voters: ",346,,,,"Registered Voters: ",331,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,89,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,142,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,56
"WEAH, George Manneh (CDC) ",,,,107,"WEAH, George Manneh (CDC) ",,,,33,"WEAH, George Manneh (CDC) ",,,,75
,"Valid Votes: ",,,196,,"Valid Votes: ",,,175,,"Valid Votes: ",,,131
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0
,"Total Votes: ",,,202,,"Total Votes: ",,,175,,"Total Votes: ",,,131
"Precinct: 42019 ","Polling Place: ",1,,,"Precinct: 42019 ","Polling Place: ",2,,,"Precinct: 42019 ","Polling Place: ",3,,
"Training Institute , Kronow roken ",,,,,"Training Institute , Kronow roken ",,,,,"Training Institute , Kronow roken",,,,
"Registered Voters: ",560,,,,"Registered Voters: ",590,,,,"Registered Voters: ",554,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,58,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,48,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,43
"WEAH, George Manneh (CDC) ",,,,155,"WEAH, George Manneh (CDC) ",,,,189,"WEAH, George Manneh (CDC) ",,,,143
,"Valid Votes: ",,,213,,"Valid Votes: ",,,237,,"Valid Votes: ",,,186
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,3
,"Total Votes: ",,,220,,"Total Votes: ",,,241,,"Total Votes: ",,,189
"Precinct: 42021 ","Polling Place: ",1,,,"Precinct: 42022 ","Polling Place: ",1,,,,,,,
"School, Klibo ",,,,,"Public School , Klibo Tarw arken",,,,,,,,,
"Registered Voters: ",593,,,,"Registered Voters: ",177,,,,,,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,,,,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes",,,,,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,64,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,9,,,,,
"WEAH, George Manneh (CDC) ",,,,218,"WEAH, George Manneh (CDC) ",,,,103,,,,,
,,"Valid Votes: ",,282,,"Valid Votes: ",,,112,,,,,
,,"Invalid Votes: ",,1,,"Invalid Votes: ",,,1,,,,,
,,"Total Votes: ",,283,,"Total Votes: ",,,113,,,,,
